id,latitude,longitude,count
66295,22.870329,-109.905017,1
6832,22.870329,-109.905017,1
7125,36.54782,-121.987225,1
143698,36.586382,-122.038547,1
7919,36.773955,-122.004805,1
52439,36.813683,-121.866188,1
98514,36.785092,-121.838379,1
41470,36.5994,-121.982298,1
32353,36.5994,-121.982298,1
141708,36.8,-122,1
111313,20.74845,-105.569,1
100356,20.74845,-105.569,1
53696,20.694617,-105.342333,1
34760,20.694617,-105.342333,1
29717,20.694617,-105.342333,1
138541,20.684533,-105.346883,1
5400,20.684533,-105.346883,1
4297,20.684533,-105.346883,1
83218,20.717183,-105.551283,1
9410,36.787698,-121.825443,1
76214,36.792275,-121.826495,1
88961,36.818282,-121.852202,1
53628,33.522793,-118.393056,1
89099,33.5,-118.515833,1
25377,33.56003,-118.565258,1
36441,36.803856,-121.873226,1
125442,36.810435,-121.897887,1
1252,36.692142,-122.005371,1
118989,36.788655,-121.825062,1
22241,36.730613,-121.839083,1
121613,36.8,-122,1
96942,36.746483,-122.024728,1
94705,36.748218,-122.122585,1
49086,36.750905,-122.13009,1
104184,36.794403,-121.823477,1
89980,33.54479,-118.443031,1
110632,36.82496,-121.879275,1
135498,36.79858,-121.987698,1
140666,36.8,-122,1
26315,36.8,-122,1
142378,33.684875,-118.410777,1
60340,34.125562,-119.89969,1
17242,36.806519,-121.845953,1
96877,36.755288,-122.000518,1
5789,36.745903,-122.008212,1
128854,36.74,-122.016667,1
21688,36.74,-122.016667,1
50546,36.750478,-122.019583,1
123060,36.756757,-121.954537,1
83016,48.454011,-123.016417,1
137820,33.519811,-118.326931,1
27741,36.823903,-121.853474,1
122089,36.792223,-121.86857,1
65010,36.76877,-121.890205,1
39053,36.791105,-121.933825,1
86381,36.765592,-121.959065,1
125928,36.787473,-121.972712,1
91397,57.775487,-135.215947,1
108700,20.877067,-105.497967,1
8542,20.877067,-105.497967,1
69959,32.484722,-117.3675,1
146061,36.806512,-121.846465,1
77729,36.80654,-121.916745,1
39017,36.807738,-121.938791,1
3403,36.8,-122,1
74011,36.780039,-121.868098,1
140142,36.637536,-121.997187,1
136221,33.370087,-118.08251,1
39963,36.723005,-121.876083,1
114938,36.775045,-121.884307,1
74376,36.774928,-121.884468,1
6766,36.796107,-121.920548,1
1215,22.937755,-109.798737,1
87472,27.8,-115.1,1
35351,27.8,-115.1,1
68218,33.472511,-118.412018,1
61745,36.784205,-121.846042,1
43476,36.76869,-121.884952,1
42605,36.781515,-121.895063,1
67310,36.776713,-121.900052,1
5823,36.783608,-121.912138,1
12693,36.778718,-121.912832,1
73988,36.766667,-121.915,1
107394,36.810447,-121.94464,1
96800,36.810628,-121.945518,1
10303,36.810885,-121.952522,1
13590,36.812423,-121.959505,1
122479,36.804742,-121.966958,1
46696,36.8,-122,1
38138,36.8,-122,1
90952,36.74003,-122.036913,1
